,frame,x,y,r,namefr,sample_rate
296,297,742,746,155,framenr_297_framevid_example8,50.0
297,298,802,700,233,framenr_298_framevid_example8,50.0
298,299,744,746,164,framenr_299_framevid_example8,50.0
299,300,738,754,157,framenr_300_framevid_example8,50.0
300,301,734,756,152,framenr_301_framevid_example8,50.0
301,302,774,722,188,framenr_302_framevid_example8,50.0
302,303,740,748,158,framenr_303_framevid_example8,50.0
303,304,736,748,153,framenr_304_framevid_example8,50.0
304,305,738,752,149,framenr_305_framevid_example8,50.0
305,306,756,724,182,framenr_306_framevid_example8,50.0
306,307,778,704,194,framenr_307_framevid_example8,50.0
307,308,756,724,178,framenr_308_framevid_example8,50.0
308,309,768,722,171,framenr_309_framevid_example8,50.0
309,310,786,706,193,framenr_310_framevid_example8,50.0
310,311,774,718,173,framenr_311_framevid_example8,50.0
311,312,764,728,171,framenr_312_framevid_example8,50.0
312,313,772,724,177,framenr_313_framevid_example8,50.0
313,314,772,722,175,framenr_314_framevid_example8,50.0
314,315,788,706,181,framenr_315_framevid_example8,50.0
315,316,772,724,170,framenr_316_framevid_example8,50.0
316,317,800,696,191,framenr_317_framevid_example8,50.0
317,318,802,692,193,framenr_318_framevid_example8,50.0
318,319,788,708,183,framenr_319_framevid_example8,50.0
319,320,784,712,175,framenr_320_framevid_example8,50.0
320,321,786,706,176,framenr_321_framevid_example8,50.0
321,322,808,678,195,framenr_322_framevid_example8,50.0
322,323,792,698,183,framenr_323_framevid_example8,50.0
323,324,794,698,181,framenr_324_framevid_example8,50.0
324,325,796,688,184,framenr_325_framevid_example8,50.0
325,326,798,682,184,framenr_326_framevid_example8,50.0
326,327,794,690,168,framenr_327_framevid_example8,50.0
327,328,792,702,151,framenr_328_framevid_example8,50.0
328,329,806,680,167,framenr_329_framevid_example8,50.0
329,330,806,668,167,framenr_330_framevid_example8,50.0
330,331,818,662,175,framenr_331_framevid_example8,50.0
331,332,830,660,174,framenr_332_framevid_example8,50.0
332,333,834,660,164,framenr_333_framevid_example8,50.0
333,334,858,626,192,framenr_334_framevid_example8,50.0
334,335,840,632,169,framenr_335_framevid_example8,50.0
335,336,840,626,178,framenr_336_framevid_example8,50.0
336,337,844,636,182,framenr_337_framevid_example8,50.0
337,338,828,642,168,framenr_338_framevid_example8,50.0
338,339,834,646,168,framenr_339_framevid_example8,50.0
339,340,846,628,180,framenr_340_framevid_example8,50.0
340,341,836,620,175,framenr_341_framevid_example8,50.0
341,342,842,622,188,framenr_342_framevid_example8,50.0
342,343,858,650,196,framenr_343_framevid_example8,50.0
343,344,840,674,167,framenr_344_framevid_example8,50.0
344,345,848,650,171,framenr_345_framevid_example8,50.0
345,346,844,646,180,framenr_346_framevid_example8,50.0
346,347,840,648,174,framenr_347_framevid_example8,50.0
347,348,836,656,171,framenr_348_framevid_example8,50.0
348,349,840,678,160,framenr_349_framevid_example8,50.0
349,350,842,694,171,framenr_350_framevid_example8,50.0
350,351,830,680,166,framenr_351_framevid_example8,50.0
351,352,838,662,177,framenr_352_framevid_example8,50.0
352,353,870,628,204,framenr_353_framevid_example8,50.0
353,354,826,658,165,framenr_354_framevid_example8,50.0
354,355,866,634,201,framenr_355_framevid_example8,50.0
355,356,866,676,185,framenr_356_framevid_example8,50.0
