"X.1","Label","X","Y","Perim.","name","radius_man"
7,"Batch14:framenr_73_framevid_June12_02.jpeg",117,74,75.398,"framenr_73_framevid_June12_02",12
8,"Batch14:framenr_73_framevid_June12_03.jpeg",117,74,75.398,"framenr_73_framevid_June12_03",12
9,"Batch14:framenr_73_framevid_June16_02.jpeg",1051.5,691.5,970.752,"framenr_73_framevid_June16_02",154
10,"Batch14:framenr_73_framevid_June16_07.jpeg",1064.5,530.5,1190.664,"framenr_73_framevid_June16_07",190
11,"Batch14:framenr_73_framevid_June16_20.jpeg",864,525,1558.23,"framenr_73_framevid_June16_20",248
12,"Batch14:framenr_74_framevid_June09_01.jpeg",925,513,1256.637,"framenr_74_framevid_June09_01",200
13,"Batch14:framenr_74_framevid_June09_02.jpeg",803,549,1325.752,"framenr_74_framevid_June09_02",211
14,"Batch14:framenr_74_framevid_June12_02.jpeg",114,61,50.265,"framenr_74_framevid_June12_02",8
15,"Batch14:framenr_74_framevid_June12_03.jpeg",114,61,50.265,"framenr_74_framevid_June12_03",8
16,"Batch14:framenr_74_framevid_June16_02.jpeg",1051,690,955.044,"framenr_74_framevid_June16_02",152
17,"Batch14:framenr_74_framevid_June16_07.jpeg",1093,517,1225.221,"framenr_74_framevid_June16_07",195
18,"Batch14:framenr_74_framevid_June16_20.jpeg",866.5,519.5,1573.938,"framenr_74_framevid_June16_20",251
19,"Batch14:framenr_75_framevid_June09_01.jpeg",916.5,567.5,1234.646,"framenr_75_framevid_June09_01",197
20,"Batch14:framenr_75_framevid_June09_02.jpeg",802.5,543.5,1341.46,"framenr_75_framevid_June09_02",213
21,"Batch14:framenr_75_framevid_June12_02.jpeg",108.5,96.5,97.389,"framenr_75_framevid_June12_02",15
22,"Batch14:framenr_75_framevid_June12_03.jpeg",108.5,96.5,97.389,"framenr_75_framevid_June12_03",15
23,"Batch14:framenr_75_framevid_June16_02.jpeg",1045,681,955.044,"framenr_75_framevid_June16_02",152
24,"Batch14:framenr_75_framevid_June16_07.jpeg",1073.5,519.5,1152.965,"framenr_75_framevid_June16_07",184
25,"Batch14:framenr_75_framevid_June16_20.jpeg",863,530,1514.248,"framenr_75_framevid_June16_20",241
26,"Batch14:framenr_76_framevid_June09_01.jpeg",933,588,1174.956,"framenr_76_framevid_June09_01",187
27,"Batch14:framenr_76_framevid_June09_02.jpeg",801,587,1181.239,"framenr_76_framevid_June09_02",188
28,"Batch14:framenr_76_framevid_June12_02.jpeg",75.5,51.5,21.991,"framenr_76_framevid_June12_02",3
