"radius,""x"",""y"",""frame_number"",""videofile"",""normalization_value"",""norm_radius"""
"120.528406432125,""790.69199652599"",""681.656844763546"",""64"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.45856690404837"
"113.243117726061,""788.173060393207"",""688.711765607997"",""65"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.37040444253697"
"122.197709960423,""794.504237025748"",""677.574244410538"",""66"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.47876787534851"
"110.932284356352,""788.936144637784"",""687.074280186598"",""67"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.34244003834711"
"94.917223294436,""772.695804071708"",""704.983603341115"",""68"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.14863478759588"
"NaN,NaN,NaN,""69"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,NaN"
"97.0084078154782,""776.593949694638"",""705.529455665548"",""70"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.17394112510535"
"101.807153811093,""784.389915045133"",""696.411140238878"",""71"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.2320128469287"
"94.1783685852331,""782.135394257038"",""702.703221896483"",""72"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.13969358396061"
"93.1597966724505,""785.117238072209"",""704.609157762304"",""73"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.12736740023881"
"93.4781664245531,""784.505388344849"",""706.662397135258"",""74"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.13122013170198"
"94.9860786878161,""782.93899115553"",""702.260631041459"",""75"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.14946803679349"
"94.4502140468295,""784.427979341003"",""704.580046116117"",""76"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.14298330465831"
"94.6694124649656,""783.966621807686"",""703.854585073797"",""77"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.14563592048206"
"91.8534038234475,""785.489716601898"",""705.346389874854"",""78"",""example8DLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv"",82.6348151035024,1.11155816962135"
