"radius","x","y","frame","videofile","normalization_value","norm_radius"
"112.336682588796","967.611206590051","661.528925517866","13","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.93130507219454
"115.528439436027","965.878828295869","654.921080643525","14","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.01459053888175
"116.476990385545","965.733531815603","651.210622242386","15","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.0393419570782
"118.625021417833","964.029123243155","647.796385900513","16","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.09539251968227
"110.410880677857","971.520816024873","653.694014855916","17","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.8810533398175
"101.273074327863","981.531725122559","656.553608175753","18","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.64261209796138
"119.924798104541","963.745571424791","646.189722020827","19","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.12930879624185
"117.295930046876","966.918549446719","651.362273891016","20","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.06071130792388
"119.384634508888","965.391862985427","649.489228816958","21","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.11521380739881
"120.882827700148","963.295794702893","651.871341181019","22","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.15430754952705
"119.012086386389","964.626942384337","656.88833105384","23","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.10549256429325
NA,NA,NA,"24","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,NA
"119.347381514814","967.813782409511","660.278659828156","25","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.11424173053161
"128.30117588669","971.307098433334","647.202146903182","26","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.34788137746457
"121.352262235695","969.630670026486","659.632517409208","27","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.16655693951615
"122.218547023719","972.517113161831","656.998025195667","28","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.18916171058986
"101.018559256732","994.314590830908","669.762145888741","29","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,2.63597080055288
"121.853109179115","976.043829104877","657.429773367709","30","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.17962600254888
"120.06459012683","978.234276866512","658.065344730145","31","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.13295651891395
"120.092654778583","979.178856967416","657.357065550886","32","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.13368883585742
"121.683015970754","977.820071358931","655.304497108505","33","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.17518760297249
"120.277601655398","978.7074949317","655.723504936866","34","_Opp_August_14_Session_1_zoom_syncedboom_4_2_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",38.3230949430638,3.1385148259579
NA,NA,NA,"1","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
NA,NA,NA,"2","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
NA,NA,NA,"3","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
NA,NA,NA,"4","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
"198.712970787371","936.234831792896","540.340418309705","5","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,7.56185233983622
NA,NA,NA,"6","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
"228.12064359323","905.042917104098","548.034014906616","7","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.68093620504637
"230.264913637224","906.128479630702","550.96212258549","8","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.76253456968844
NA,NA,NA,"9","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
NA,NA,NA,"10","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
"215.160829879295","961.375167953424","571.796209132629","11","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.18776156592619
"308.044991827541","1198.46357348039","661.14448318437","12","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,11.7223889965313
"208.339564976368","958.728675337586","561.257046711363","13","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,7.92818415755442
NA,NA,NA,"14","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
"340.724648694596","1233.04475012522","683.342230283337","15","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,12.9659854198851
NA,NA,NA,"16","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,NA
"214.240424143329","949.546844861403","551.880013697429","17","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,8.15273631196046
"348.721175034283","1239.71932915416","682.109968173166","18","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,13.2702863981893
"425.907743790204","1310.44272115803","729.690180346063","19","_Opp_August_14_Session_1_zoom_syncedboom_5_3_FajarDLC_resnet101_Deep_AirSacTrackingV1Jan1shuffle1_500000.csv",26.2783458148926,16.2075553305502
